SubjectID,StimulusType,response,RT
01005,1,1,389
01005,1,1,353
01005,1,1,662
01005,1,1,304
01005,0,0,0
01005,1,1,387
01005,1,1,307
01005,0,0,0
01005,0,0,0
01005,1,1,474
01005,1,1,557
01005,1,1,335
01005,0,0,0
01005,0,0,0
01005,1,1,472
01005,1,1,388
01005,1,1,304
01005,1,1,302
01005,1,1,306
01005,0,0,0
01005,1,1,915
01005,1,1,304
01005,1,1,373
01005,1,1,324
01005,1,1,324
01005,1,1,402
01005,1,1,302
01005,1,1,338
01005,0,1,305
01005,0,1,303
01005,0,0,0
01005,1,1,354
01005,1,1,408
01005,1,1,322
01005,1,1,589
01005,1,1,287
01005,0,1,119
01005,1,1,301
01005,1,1,369
01005,1,1,372
01005,1,1,323
01005,1,1,307
01005,1,1,339
01005,1,1,527
01005,1,1,289
01005,0,1,319
01005,0,0,0
01005,1,1,408
01005,1,1,423
01005,1,1,303
01005,1,1,321
01006,1,1,406
01006,0,0,0
